variety,country,points
Gamay,France,84
Rosé,France,90
Gamay,France,90
Chardonnay,France,87
Rosé,France,86
Sparkling Blend,France,87
Melon,France,87
Bordeaux-style Red Blend,France,88
Rosé,France,87
Champagne Blend,France,90
Pinot Noir,France,88
Champagne Blend,France,92
Bordeaux-style Red Blend,France,88
Rosé,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Champagne Blend,France,90
Bordeaux-style Red Blend,France,90
Bordeaux-style Red Blend,France,90
Champagne Blend,France,92
Pinot Noir,France,90
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Chardonnay,France,92
Gamay,France,89
Chenin Blanc,France,91
Pinot Noir,France,90
Pinot Noir,France,90
Bordeaux-style Red Blend,France,91
Melon,France,87
Rosé,France,86
Sauvignon Blanc,France,86
Riesling,France,92
Rosé,France,88
Rhône-style Red Blend,France,86
Bordeaux-style White Blend,France,84
Bordeaux-style Red Blend,France,84
Sauvignon Blanc,France,87
Rosé,France,84
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Sauvignon Blanc,France,87
Sauvignon Blanc,France,88
White Blend,France,84
Sauvignon Blanc,France,87
Rhône-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Chardonnay,France,89
Bordeaux-style Red Blend,France,84
Bordeaux-style Red Blend,France,84
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Rosé,France,89
Pinot Noir,France,89
Bordeaux-style Red Blend,France,87
Riesling,France,92
Bordeaux-style Red Blend,France,84
Red Blend,France,88
Rosé,France,86
Rosé,France,86
Chardonnay,France,87
Rosé,France,86
Gamay,France,87
Rosé,France,86
Sauvignon Blanc,France,86
Sauvignon Blanc,France,86
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Sauvignon Blanc,France,86
Bordeaux-style Red Blend,France,88
Cabernet Franc,France,86
Bordeaux-style Red Blend,France,88
Gamay,France,87
Pinot Blanc,France,88
Pinot Noir,France,88
Rosé,France,90
Gamay,France,84
Riesling,France,92
Riesling,France,92
Riesling,France,92
Riesling,France,92
Malbec,France,86
Sparkling Blend,France,87
Champagne Blend,France,90
Chardonnay,France,90
Pinot Noir,France,87
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Chardonnay,France,87
Bordeaux-style Red Blend,France,91
Champagne Blend,France,88
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,91
Chardonnay,France,87
Pinot Noir,France,83
Champagne Blend,France,89
Sparkling Blend,France,89
Sparkling Blend,France,89
Pinot Noir,France,89
Champagne Blend,France,88
Riesling,France,88
Bordeaux-style Red Blend,France,87
Cabernet Franc,France,87
Malbec,France,90
Sauvignon Blanc,France,91
Pinot Gris,France,88
Rosé,France,88
Chardonnay,France,91
Sauvignon Blanc,France,91
Chardonnay,France,83
Pinot Noir,France,83
Rosé,France,92
Rosé,France,92
Rosé,France,92
Rosé,France,92
Rosé,France,92
Prunelard,France,91
Cabernet Franc,France,91
Bordeaux-style White Blend,France,88
Rosé,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style Red Blend,France,91
Bordeaux-style White Blend,France,88
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Pinot Noir,France,87
Chardonnay,France,87
Gamay,France,88
Gamay,France,88
White Blend,France,88
Bordeaux-style Red Blend,France,89
Gamay,France,84
Rosé,France,84
White Blend,France,89
Gamay,France,84
Picpoul,France,84
Pinot Noir,France,83
Gewürztraminer,France,91
Pinot Gris,France,91
Pinot Gris,France,83
Rosé,France,83
Champagne Blend,France,92
Riesling,France,92
Bordeaux-style Red Blend,France,84
Chenin Blanc,France,88
Pinot Noir,France,90
Cabernet Franc,France,88
Champagne Blend,France,92
Bordeaux-style Red Blend,France,84
Champagne Blend,France,90
Rosé,France,86
Bordeaux-style Red Blend,France,93
Bordeaux-style Red Blend,France,87
Rosé,France,84
Chardonnay,France,87
Pinot Noir,France,86
Gewürztraminer,France,88
Pinot Gris,France,88
Rhône-style Red Blend,France,91
Rhône-style Red Blend,France,91
Chardonnay,France,88
Provence red blend,France,86
Bordeaux-style White Blend,France,84
Bordeaux-style White Blend,France,84
Rosé,France,91
Rosé,France,86
Riesling,France,88
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Pinot Gris,France,88
Gewürztraminer,France,88
Bordeaux-style Red Blend,France,88
Chenin Blanc,France,88
Gamay,France,88
White Blend,France,86
Chardonnay,France,91
Bordeaux-style Red Blend,France,88
Rhône-style Red Blend,France,90
Viognier,France,90
Viognier,France,87
Chardonnay,France,94
Chardonnay,France,87
Rhône-style Red Blend,France,90
Merlot,France,86
Syrah,France,90
Rosé,France,86
Rosé,France,92
White Blend,France,87
Bordeaux-style Red Blend,France,92
Rosé,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,92
Rhône-style Red Blend,France,86
Chardonnay,France,92
Champagne Blend,France,92
Rhône-style Red Blend,France,86
Rosé,France,87
Gewürztraminer,France,92
Rhône-style White Blend,France,86
Rhône-style White Blend,France,85
Rhône-style White Blend,France,85
Gros and Petit Manseng,France,87
Sauvignon Blanc,France,87
Rhône-style Red Blend,France,86
Melon,France,89
Chardonnay,France,94
Rosé,France,86
Gewürztraminer,France,91
Riesling,France,91
Pinot Blanc,France,91
Chardonnay,France,94
Riesling,France,91
Rhône-style Red Blend,France,86
Bordeaux-style Red Blend,France,85
Pinot Noir,France,89
Bordeaux-style White Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Gewürztraminer,France,91
Rosé,France,86
Chardonnay,France,87
Colombard-Sauvignon Blanc,France,86
Negrette,France,86
Chardonnay,France,89
Champagne Blend,France,92
Rosé,France,86
Vermentino,France,84
Cabernet Franc,France,91
Provence red blend,France,90
Pinot Noir,France,89
White Blend,France,90
Cabernet Franc,France,91
Chardonnay,France,89
Chardonnay,France,89
Chardonnay,France,89
Pinot Blanc,France,90
Pinot Noir,France,84
Muscat,France,90
Bordeaux-style Red Blend,France,92
Bordeaux-style Red Blend,France,92
Pinot Noir,France,87
Bordeaux-style White Blend,France,90
Bordeaux-style White Blend,France,90
Rosé,France,90
Alsace white blend,France,90
Rhône-style Red Blend,France,92
Bordeaux-style White Blend,France,90
Bordeaux-style White Blend,France,90
Pinot Blanc,France,90
Chardonnay,France,91
Pinot Noir,France,91
Rosé,France,84
Rosé,France,86
Gewürztraminer,France,85
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Chardonnay,France,92
Rhône-style Red Blend,France,90
Chardonnay,France,92
Rosé,France,86
Rosé,France,86
White Blend,France,86
Rhône-style White Blend,France,90
Grenache,France,84
White Blend,France,90
Merlot,France,83
Red Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Pinot Noir,France,84
Aligoté,France,84
Rosé,France,86
Bordeaux-style White Blend,France,90
Chardonnay,France,94
Chardonnay,France,90
Sauvignon Blanc,France,85
Bordeaux-style White Blend,France,85
Pinot Noir,France,90
Rosé,France,85
Champagne Blend,France,90
Bordeaux-style Red Blend,France,84
Melon,France,85
Gamay,France,85
Pinot Noir,France,90
Rosé,France,90
Bordeaux-style White Blend,France,85
Chardonnay,France,89
Chardonnay,France,89
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Chardonnay,France,89
Pinot Noir,France,90
Chardonnay,France,90
Bordeaux-style White Blend,France,85
Chardonnay,France,86
Bordeaux-style White Blend,France,85
Rosé,France,85
Bordeaux-style Red Blend,France,84
Bordeaux-style Red Blend,France,84
Syrah,France,89
Chardonnay,France,89
Champagne Blend,France,88
Bordeaux-style Red Blend,France,84
Rhône-style Red Blend,France,90
Bordeaux-style Red Blend,France,84
Malbec,France,88
Bordeaux-style Red Blend,France,90
Bordeaux-style Red Blend,France,84
Pinot Noir,France,94
Pinot Noir,France,94
Chardonnay,France,94
Pinot Noir,France,92
Rhône-style Red Blend,France,90
Pinot Noir,France,94
Bordeaux-style Red Blend,France,84
Gamay,France,87
Gamay,France,89
Bordeaux-style White Blend,France,84
Bordeaux-style Red Blend,France,84
Champagne Blend,France,88
Syrah,France,92
Bordeaux-style White Blend,France,84
Sauvignon Blanc,France,88
Sauvignon Blanc,France,88
Bordeaux-style White Blend,France,85
Chardonnay,France,89
Malbec,France,88
Chardonnay,France,85
Pinot Noir,France,95
Sparkling Blend,France,86
Sparkling Blend,France,89
Chardonnay,France,96
Pinot Noir,France,96
Champagne Blend,France,89
Pinot Noir,France,96
Chardonnay,France,94
Chardonnay,France,91
Chardonnay,France,94
Chardonnay,France,95
Champagne Blend,France,89
Rosé,France,82
Bordeaux-style White Blend,France,82
Chardonnay,France,94
Gamay,France,89
Chardonnay,France,94
Gamay,France,89
Champagne Blend,France,89
Rosé,France,83
Champagne Blend,France,89
White Blend,France,87
Champagne Blend,France,89
Chardonnay,France,89
Chardonnay,France,86
Chardonnay,France,94
Malbec,France,89
Bordeaux-style Red Blend,France,84
Gamay,France,89
Red Blend,France,89
Chardonnay-Viognier,France,88
Chardonnay,France,85
Chardonnay,France,91
Pinot Gris,France,91
Rosé,France,91
Rosé,France,91
Chardonnay,France,91
Chardonnay,France,91
Bordeaux-style Red Blend,France,84
Pinot Noir,France,90
Bordeaux-style Red Blend,France,84
Chardonnay,France,94
Riesling,France,91
Chardonnay,France,94
Champagne Blend,France,86
Red Blend,France,89
Rosé,France,91
Rosé,France,91
Rosé,France,91
Bordeaux-style Red Blend,France,84
Bordeaux-style Red Blend,France,87
Rhône-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style White Blend,France,91
Bordeaux-style White Blend,France,91
Bordeaux-style White Blend,France,91
Chardonnay,France,87
Sauvignon Blanc,France,89
Chardonnay,France,88
Champagne Blend,France,91
Pinot Noir,France,92
Chardonnay,France,87
Champagne Blend,France,91
Chardonnay,France,92
Bordeaux-style Red Blend,France,82
Pinot Noir,France,83
Bordeaux-style Red Blend,France,83
Pinot Noir,France,92
Rhône-style White Blend,France,89
Rosé,France,90
Sparkling Blend,France,84
Rosé,France,89
Chardonnay,France,84
Chardonnay,France,83
Pinot Noir,France,84
Pinot Noir,France,87
Bordeaux-style White Blend,France,91
Bordeaux-style White Blend,France,91
Bordeaux-style White Blend,France,91
Champagne Blend,France,89
Rosé,France,85
Melon,France,85
Champagne Blend,France,89
Chardonnay,France,89
Rosé,France,85
Rosé,France,85
Sauvignon Blanc,France,84
Sauvignon Blanc,France,84
Chardonnay,France,88
Sauvignon Blanc,France,84
Melon,France,84
Chardonnay,France,88
Rhône-style Red Blend,France,87
Chardonnay,France,88
Red Blend,France,87
Bordeaux-style Red Blend,France,83
Chardonnay,France,91
Chardonnay,France,87
Chardonnay,France,87
Muscat d'Alexandrie,France,88
Chardonnay,France,91
Rhône-style Red Blend,France,88
Rosé,France,90
Gamay,France,89
White Blend,France,85
Gamay,France,83
Chardonnay,France,92
Bordeaux-style Red Blend,France,88
Chardonnay,France,88
Bordeaux-style Red Blend,France,94
Chardonnay,France,92
Pinot Noir,France,88
Rosé,France,90
Chardonnay,France,88
Sparkling Blend,France,91
Pinot Noir,France,88
Rosé,France,85
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Sparkling Blend,France,91
Bordeaux-style Red Blend,France,88
Pinot Noir,France,84
Pinot Noir,France,91
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,93
Gewürztraminer,France,91
Sparkling Blend,France,91
Rosé,France,90
Rosé,France,90
Chardonnay,France,91
Rosé,France,90
Chardonnay,France,84
Chardonnay,France,84
Sauvignon Blanc,France,85
Chardonnay,France,87
Gamay,France,93
Bordeaux-style Red Blend,France,84
Melon,France,91
Bordeaux-style White Blend,France,84
Chardonnay,France,83
Chardonnay,France,89
Pinot Noir,France,84
Pinot Blanc,France,84
Pinot Noir,France,84
Viognier,France,84
Gamay,France,93
Rosé,France,90
Rosé,France,85
Chardonnay,France,91
Rosé,France,85
Melon,France,91
Bordeaux-style Red Blend,France,88
Rosé,France,85
Rosé,France,85
Rosé,France,85
Sauvignon Blanc,France,87
Pinot Noir,France,84
Champagne Blend,France,89
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Rosé,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,85
Bordeaux-style Red Blend,France,85
Bordeaux-style Red Blend,France,85
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,87
Sparkling Blend,France,85
Carignan,France,89
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Chardonnay,France,84
Chenin Blanc,France,91
Gamay,France,84
Tannat,France,89
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,91
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,87
Rhône-style Red Blend,France,89
Muscat,France,90
Champagne Blend,France,90
Rosé,France,87
Rhône-style Red Blend,France,87
Melon,France,91
Chenin Blanc,France,86
Rhône-style Red Blend,France,87
Rhône-style Red Blend,France,91
Rhône-style Red Blend,France,91
Gamay,France,88
Melon,France,84
Sauvignon Blanc,France,89
Rhône-style White Blend,France,89
Chardonnay,France,97
Bordeaux-style Red Blend,France,85
Bordeaux-style Red Blend,France,85
Chardonnay,France,95
Bordeaux-style Red Blend,France,88
Chardonnay,France,94
Chardonnay,France,94
Bordeaux-style Red Blend,France,85
Bordeaux-style White Blend,France,85
Rosé,France,87
Malbec,France,91
Champagne Blend,France,87
Gamay,France,91
Rosé,France,87
Bordeaux-style Red Blend,France,83
Gewürztraminer,France,88
Chardonnay,France,87
Champagne Blend,France,87
Champagne Blend,France,87
Pinot Gris,France,88
Altesse,France,90
Sauvignon Blanc,France,85
Red Blend,France,85
Rosé,France,85
Red Blend,France,90
Sparkling Blend,France,89
Champagne Blend,France,89
Rosé,France,85
Champagne Blend,France,89
Gamay,France,89
Gamay,France,89
Pinot Noir,France,85
Gamay,France,89
Sparkling Blend,France,89
Rosé,France,85
Rosé,France,85
Sauvignon Blanc,France,87
Picpoul,France,87
Bordeaux-style Red Blend,France,88
Bordeaux-style White Blend,France,87
Sauvignon Blanc,France,87
Bordeaux-style Red Blend,France,90
Bordeaux-style White Blend,France,90
Chardonnay,France,90
Bordeaux-style Red Blend,France,90
Rosé,France,87
Rosé,France,84
Gamay,France,84
Rhône-style Red Blend,France,91
G-S-M,France,90
Chardonnay,France,84
Gamay,France,84
Malbec,France,87
Chardonnay,France,90
Gamay,France,84
Pinot Noir,France,90
Champagne Blend,France,87
Rosé,France,84
Rhône-style Red Blend,France,90
Chardonnay,France,84
Bordeaux-style White Blend,France,84
Rosé,France,84
Gamay,France,84
Champagne Blend,France,87
Bordeaux-style White Blend,France,84
Rosé,France,88
Gamay,France,86
Rhône-style White Blend,France,86
Rosé,France,86
Gewürztraminer,France,92
Sauvignon Blanc,France,94
Chardonnay,France,94
Pinot Noir,France,94
Bordeaux-style Red Blend,France,90
Pinot Noir,France,94
Pinot Noir,France,94
Melon,France,89
Chardonnay,France,93
Gewürztraminer,France,92
Champagne Blend,France,89
Rosé,France,85
Chardonnay,France,85
Rosé,France,85
Bordeaux-style Red Blend,France,88
Pinot Noir,France,89
Bordeaux-style Red Blend,France,87
Riesling,France,87
Chardonnay,France,85
Pinot Gris,France,87
Champagne Blend,France,90
Pinot Blanc,France,84
Gewürztraminer,France,92
Pinot Gris,France,92
Pinot Noir,France,94
Bordeaux-style White Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Pinot Gris,France,92
Pinot Noir,France,94
Chardonnay,France,94
Bordeaux-style Red Blend,France,86
Chardonnay,France,94
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Merlot,France,86
Jacquère,France,86
Chardonnay,France,94
Viognier,France,95
Gewürztraminer,France,92
Bordeaux-style White Blend,France,88
Champagne Blend,France,86
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,82
Pinot Noir,France,89
Rosé,France,88
Pinot Noir,France,89
Bordeaux-style White Blend,France,88
Rosé,France,88
Auxerrois,France,89
Bordeaux-style White Blend,France,88
Sauvignon Blanc-Chardonnay,France,88
Pinot Noir,France,91
Champagne Blend,France,89
Syrah,France,90
Gewürztraminer,France,88
Cabernet Franc-Cabernet Sauvignon,France,88
Cabernet Franc-Cabernet Sauvignon,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style White Blend,France,84
Colombard-Sauvignon Blanc,France,84
Champagne Blend,France,90
Colombard,France,84
Riesling,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style White Blend,France,88
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Chardonnay,France,91
Rosé,France,88
Bordeaux-style Red Blend,France,88
Bordeaux-style White Blend,France,88
Champagne Blend,France,87
Gros and Petit Manseng,France,90
Chardonnay,France,91
Chardonnay,France,90
Bordeaux-style Red Blend,France,90
Chardonnay,France,91
Bordeaux-style Red Blend,France,90
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,90
Bordeaux-style Red Blend,France,90
Bordeaux-style Red Blend,France,90
Chardonnay,France,91
Bordeaux-style Red Blend,France,90
Bordeaux-style Red Blend,France,89
Pinot Noir,France,91
Bordeaux-style Red Blend,France,89
Pinot Noir,France,91
Chardonnay,France,91
Pinot Noir,France,90
Sparkling Blend,France,90
Bordeaux-style Red Blend,France,88
Bordeaux-style White Blend,France,88
Melon,France,89
Bordeaux-style Red Blend,France,89
White Blend,France,87
Bordeaux-style Red Blend,France,92
Chenin Blanc-Chardonnay,France,87
Bordeaux-style Red Blend,France,92
Rhône-style White Blend,France,87
Rhône-style White Blend,France,92
Bordeaux-style Red Blend,France,83
Champagne Blend,France,91
Syrah,France,89
Tannat,France,95
White Blend,France,87
Red Blend,France,87
Pinot Noir,France,89
Champagne Blend,France,86
Pinot Gris,France,88
Vermentino,France,88
Pinot Noir,France,89
Roussanne,France,91
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Mansois,France,87
Pinot Noir,France,89
Champagne Blend,France,91
Gros and Petit Manseng,France,87
Rosé,France,87
Bordeaux-style Red Blend,France,85
Rosé,France,84
Bordeaux-style White Blend,France,84
Bordeaux-style White Blend,France,84
Melon,France,84
Petite Verdot,France,84
Rhône-style White Blend,France,84
Bordeaux-style Red Blend,France,84
Sémillon,France,84
Tannat-Cabernet Franc,France,94
Grenache,France,84
Bordeaux-style Red Blend,France,84
Bordeaux-style White Blend,France,84
Bordeaux-style Red Blend,France,84
Rosé,France,84
Bordeaux-style Red Blend,France,84
Bordeaux-style White Blend,France,84
Bordeaux-style White Blend,France,84
Bordeaux-style Red Blend,France,84
Rosé,France,84
Cabernet Franc,France,84
Bordeaux-style Red Blend,France,84
Rhône-style Red Blend,France,85
Bordeaux-style White Blend,France,85
Rhône-style White Blend,France,89
Bordeaux-style White Blend,France,89
Pinot Noir,France,89
Chardonnay,France,89
Bordeaux-style Red Blend,France,93
Malbec,France,86
Sparkling Blend,France,82
Rosé,France,86
Rosé,France,86
Malbec,France,86
Red Blend,France,86
Chardonnay,France,94
Bordeaux-style Red Blend,France,84
Bordeaux-style White Blend,France,86
Bordeaux-style Red Blend,France,93
Bordeaux-style Red Blend,France,84
Chardonnay,France,94
White Blend,France,85
Chardonnay,France,94
Bordeaux-style Red Blend,France,84
Bordeaux-style Red Blend,France,84
Malbec,France,88
Bordeaux-style Red Blend,France,88
Nielluciu,France,88
Gamay,France,85
Rhône-style Red Blend,France,89
Pinot Noir,France,94
Rhône-style Red Blend,France,86
White Blend,France,86
Pinot Noir,France,94
Bordeaux-style White Blend,France,93
Gewürztraminer,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Sauvignon Blanc,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,86
Bordeaux-style Red Blend,France,93
Pinot Noir,France,86
Gewürztraminer,France,86
Pinot Blanc,France,86
Pinot Noir,France,94
Muscat,France,86
Bordeaux-style Red Blend,France,93
Pinot Noir,France,94
Pinot Blanc,France,86
Gamay,France,87
Rhône-style Red Blend,France,88
Bordeaux-style Red Blend,France,93
Pinot Blanc,France,86
White Blend,France,86
Pinot Noir,France,89
Cabernet Franc,France,84
Bordeaux-style White Blend,France,88
Riesling,France,88
Chardonnay,France,90
Savagnin,France,90
Sauvignon Blanc,France,90
Pinot Noir,France,90
Syrah,France,83
Chardonnay,France,90
Chardonnay,France,82
Chardonnay,France,90
Chardonnay,France,82
Chardonnay,France,88
Chardonnay,France,82
Bordeaux-style Red Blend,France,89
Bordeaux-style White Blend,France,89
Chardonnay,France,89
Chardonnay,France,89
Chardonnay,France,89
Pinot Noir,France,90
Chardonnay,France,92
Rhône-style Red Blend,France,89
Chardonnay,France,89
Rhône-style Red Blend,France,89
Cabernet Franc,France,89
Bordeaux-style Red Blend,France,89
Chardonnay,France,90
Chardonnay,France,90
Pinot Blanc,France,89
Pinot Gris,France,95
Alsace white blend,France,95
Bordeaux-style Red Blend,France,95
Alsace white blend,France,95
Bordeaux-style Red Blend,France,95
Bordeaux-style White Blend,France,95
Bordeaux-style Red Blend,France,95
Pinot Noir,France,90
Malbec-Merlot,France,88
Bordeaux-style Red Blend,France,95
Riesling,France,95
Bordeaux-style Red Blend,France,95
Sparkling Blend,France,86
Malbec-Merlot,France,88
White Blend,France,86
Riesling,France,89
Chardonnay,France,84
Cabernet Franc,France,90
Cabernet Franc,France,90
Chardonnay,France,84
Chardonnay,France,88
Savagnin,France,90
Gewürztraminer,France,89
Chardonnay,France,89
Riesling,France,95
Chardonnay,France,92
Bordeaux-style Red Blend,France,92
Gamay,France,86
Rosé,France,86
Chardonnay,France,86
Melon,France,92
Melon,France,92
Chenin Blanc,France,92
Pinot Gris,France,92
Riesling,France,92
Riesling,France,92
Sparkling Blend,France,92
Malbec,France,94
Sparkling Blend,France,92
Sparkling Blend,France,92
Gamay,France,92
Sauvignon Blanc,France,87
Sparkling Blend,France,86
Champagne Blend,France,86
Sparkling Blend,France,92
Rhône-style Red Blend,France,84
Malbec,France,95
Rosé,France,87
Red Blend,France,87
Champagne Blend,France,92
Gamay,France,86
Gamay,France,86
Rosé,France,86
Bordeaux-style White Blend,France,92
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Chardonnay,France,82
Rhône-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Bordeaux-style Red Blend,France,89
Pinot Noir,France,88
Bordeaux-style Red Blend,France,88
Red Blend,France,86
Rosé,France,86
Rosé,France,86
Rosé,France,86
Bordeaux-style Red Blend,France,92
Rosé,France,86
Rosé,France,86
White Blend,France,86
White Blend,France,86
Rosé,France,86
Champagne Blend,France,86
Gewürztraminer,France,94
White Blend,France,86
Rosé,France,86
Sparkling Blend,France,89
Bordeaux-style White Blend,France,88
Champagne Blend,France,95
Pinot Gris,France,95
Merlot,France,84
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,88
Tannat,France,89
Bordeaux-style Red Blend,France,87
Chardonnay,France,87
Bordeaux-style Red Blend,France,88
Rosé,France,87
Riesling,France,89
Pinot Noir,France,89
Bordeaux-style Red Blend,France,88
Syrah-Carignan,France,89
Bordeaux-style Red Blend,France,87
Syrah-Grenache,France,89
Riesling,France,89
Pinot Gris,France,89
Pinot Gris,France,89
Riesling,France,89
Gewürztraminer,France,89
Provence white blend,France,89
Provence white blend,France,89
Sauvignon Blanc,France,96
Pinot Gris,France,89
Melon,France,89
Gamay,France,89
Bordeaux-style Red Blend,France,88
Rosé,France,88
Pinot Gris,France,88
Pinot Gris,France,88
Champagne Blend,France,90
Pinot Noir,France,90
Pinot Noir,France,90
Rosé,France,84
Rosé,France,84
Pinot Noir,France,84
Chardonnay,France,87
Merlot,France,90
Melon,France,89
Bordeaux-style Red Blend,France,89
Rosé,France,82
Bordeaux-style Red Blend,France,88
Rosé,France,84
Tannat,France,89
Viognier,France,90
Sauvignon Blanc,France,84
Bordeaux-style Red Blend,France,87
Bordeaux-style Red Blend,France,88
Bordeaux-style Red Blend,France,89
Rosé,France,89
Bordeaux-style Red Blend,France,87
Chenin Blanc,France,95
Melon,France,89
Bordeaux-style Red Blend,France,87
Chardonnay,France,88
Sauvignon Blanc,France,94
Tannat,France,94
Chenin Blanc,France,93
Alsace white blend,France,95
Riesling,France,95
Sauvignon Blanc,France,84
Riesling,France,95
Champagne Blend,France,95
Chenin Blanc,France,95
Cabernet Franc,France,93
Chardonnay,France,95
Riesling,France,95
Riesling,France,95
Pinot Gris,France,95
Riesling,France,95
Chardonnay,France,84
Muscat,France,95
Riesling,France,95
Chardonnay,France,88
Riesling,France,95
Chardonnay,France,84
Chardonnay,France,90
Cabernet Franc,France,93
Malbec,France,93
Bordeaux-style Red Blend,France,93
Champagne Blend,France,87
Rosé,France,86
Riesling,France,86
Rosé,France,89
Rosé,France,86
Sauvignon Blanc,France,86
Pinot Gris,France,86
Sparkling Blend,France,86
Pinot Gris,France,86
Bordeaux-style White Blend,France,87
Mauzac,France,90
Chardonnay,France,87
Pinot Gris,France,86
Sparkling Blend,France,88
Malbec,France,93
Chardonnay,France,93
Chenin Blanc,France,93
Bordeaux-style White Blend,France,87
Champagne Blend,France,88
Chardonnay,France,93
Cabernet Franc,France,93
Cabernet Franc,France,93
Champagne Blend,France,88
White Blend,France,89
Bordeaux-style White Blend,France,84
Rhône-style Red Blend,France,92
Malbec,France,87
Gamay,France,87
Muscat Blanc à Petits Grains,France,87
Gewürztraminer,France,87
Pinot Blanc,France,87
Grenache,France,87
Gewürztraminer,France,87
Bordeaux-style Red Blend,France,92
Rhône-style Red Blend,France,84
Sauvignon Blanc,France,83
Red Blend,France,87
Sauvignon Blanc,France,84
Rosé,France,87
Gewürztraminer,France,95
Sauvignon Blanc,France,82
Malbec-Merlot,France,87
Chardonnay,France,88
Pinot Noir,France,88
Chardonnay,France,88
Rosé,France,88
Gros Manseng,France,87
Alsace white blend,France,95
Riesling,France,95
Malbec,France,87
Gamay,France,88
White Blend,France,88
Champagne Blend,France,88
Chardonnay,France,89
Bordeaux-style Red Blend,France,92
Gamay,France,85
Gamay,France,90
Gamay,France,90
Chardonnay,France,87
Chardonnay,France,87
Gewürztraminer,France,88
Gewürztraminer,France,88
